S0,Option Price
50,0.0010823
51,0.00160402
52,0.00234138
53,0.00335556
54,0.00475434
55,0.00662961
56,0.00911818
57,0.0124229
58,0.0166255
59,0.0221422
60,0.0290952
61,0.0377134
62,0.0486181
63,0.0620524
64,0.0783237
65,0.0978843
66,0.1217
67,0.150119
68,0.18359
69,0.222754
70,0.268298
71,0.320945
72,0.381668
73,0.451581
74,0.530987
75,0.620696
76,0.721523
77,0.834284
78,0.959784
79,1.09881
80,1.25213
81,1.42047
82,1.60451
83,1.8049
84,2.02221
85,2.25697
86,2.50964
87,2.78083
88,3.07274
89,3.38397
90,3.71469
91,4.06502
92,4.435
93,4.82458
94,5.23368
95,5.66374
96,6.11643
97,6.5884
98,7.0793
99,7.58874
100,8.11633
101,8.66807
102,9.23728
103,9.82341
104,10.426
105,11.0486
106,11.6897
107,12.3456
108,13.0158
109,13.7049
110,14.4095
111,15.1267
112,15.857
113,16.6054
114,17.3645
115,18.1341
116,18.9198
117,19.716
118,20.5209
119,21.3396
120,22.1678
121,23.0035
122,23.8516
123,24.7075
124,25.5697
125,26.4438
126,27.3234
127,28.2099
128,29.1052
129,30.0051
130,30.9128
131,31.8261
132,32.744
133,33.6695
134,34.5984
135,35.5333
136,36.4726
137,37.4159
138,38.3646
139,39.316
140,40.2729
141,41.2325
142,42.1962
143,43.1633
144,44.1336
145,45.1074
146,46.0839
147,47.064
148,48.0464
149,49.0322
150,50.0204
